trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
57,False,"{'a': 0.4859999999999999, 'e': 0.3198190218163039}",25,0,-79.61422088713073,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
58,False,"{'a': 0.4839999999999999, 'e': 0.3134861808826054}",20,7,-58.00246490905503,"{0: 10, 1: 0, 2: 0, 3: 2, 4: 1}",1
59,False,"{'a': 0.4819999999999999, 'e': 0.30727873860113125}",30,14,9.29911826458811,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
60,False,"{'a': 0.47999999999999987, 'e': 0.30119421191220214}",25,14,13.823652729954023,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.47799999999999987, 'e': 0.2952301669240142}",20,12,-6.520605762057819,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
62,False,"{'a': 0.47599999999999987, 'e': 0.28938421793905067}",30,16,10.490331662648009,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
63,False,"{'a': 0.47399999999999987, 'e': 0.2836540264997704}",35,18,23.822793354758545,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.47199999999999986, 'e': 0.27803730045319414}",20,13,10.369567685549672,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.46999999999999986, 'e': 0.2725317930340126}",25,0,7.760816134663457,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
66,False,"{'a': 0.46799999999999986, 'e': 0.2671353019658504}",20,1,1.4188664169062002,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 0}",1
67,False,"{'a': 0.46599999999999986, 'e': 0.261845668580326}",20,16,9.015957982239794,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.46399999999999986, 'e': 0.2566607769535559}",20,8,-34.516959808330206,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
69,False,"{'a': 0.46199999999999986, 'e': 0.2515785530597565}",20,16,6.249372946663504,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.45999999999999985, 'e': 0.24659696394160646}",30,7,-24.5746648184504,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 1}",1
71,False,"{'a': 0.45799999999999985, 'e': 0.24171401689703648}",25,11,-109.05846533883138,"{0: 8, 1: 1, 2: 2, 3: 1, 4: 2}",1
72,False,"{'a': 0.45599999999999985, 'e': 0.2369277586821218}",20,0,-11.895487673007743,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
73,False,"{'a': 0.45399999999999985, 'e': 0.23223627472975886}",20,3,8.900453149906182,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
74,False,"{'a': 0.45199999999999985, 'e': 0.22763768838381276}",20,6,-16.192807077840097,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
75,False,"{'a': 0.44999999999999984, 'e': 0.22313016014842985}",20,10,-8.02703768982409,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
76,False,"{'a': 0.44799999999999984, 'e': 0.21871188695221477}",25,15,5.040838441051107,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
77,False,"{'a': 0.44599999999999984, 'e': 0.21438110142697797}",20,0,-3.7474907358405662,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
78,False,"{'a': 0.44399999999999984, 'e': 0.21013607120076475}",20,0,-43.01943194491751,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
79,False,"{'a': 0.44199999999999984, 'e': 0.20597509820488347}",20,0,13.761428242765643,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
80,False,"{'a': 0.43999999999999984, 'e': 0.2018965179946554}",30,8,-4.976293262959291,"{0: 19, 1: 1, 2: 1, 3: 1, 4: 0}",1
81,False,"{'a': 0.43799999999999983, 'e': 0.19789869908361468}",20,15,7.433707758817472,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.43599999999999983, 'e': 0.19398004229089189}",20,9,-85.70065422575169,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 2}",1
