trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
156,False,"{'a': 0.6, 'e': 0.04415716841969287}",30,0,48.66488988828436,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
157,False,"{'a': 0.6, 'e': 0.0432827979019659}",25,7,20.2781335192489,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.6, 'e': 0.04242574108051139}",20,0,3.183247369152159,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
159,False,"{'a': 0.6, 'e': 0.04158565512117317}",25,14,15.63213998728268,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.6, 'e': 0.04076220397836621}",25,0,22.662437029319758,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
161,False,"{'a': 0.6, 'e': 0.0399550582606539}",20,3,31.86683810209338,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.6, 'e': 0.03916389509898707}",35,0,57.33479713862156,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
163,False,"{'a': 0.6, 'e': 0.03838839801755206}",25,0,-32.082673107730486,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
164,False,"{'a': 0.6, 'e': 0.03762825680717621}",30,3,24.458760797721478,"{0: 26, 1: 0, 2: 0, 3: 1, 4: 0}",1
165,False,"{'a': 0.6, 'e': 0.03688316740124}",25,8,27.200287761027088,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.6, 'e': 0.03615283175404641}",25,14,-2.430219274861525,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
167,False,"{'a': 0.6, 'e': 0.03543695772159865}",30,19,18.964266321092587,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
